,name,type,address,city,zip,state,phone,web,email,vocation,logo
0,PROCESS CONTROL SCCL,Gold,"Avda. Vía Augusta 85-87, 3ª Planta, Oficina 2 08174 Sant Cugat del Vallés  Spain",Sant Cugat del Vallés,08174,Barcelona,+34 932 29 68 10,http://www.processcontrol.es,heber.torrelles@processcontrol.es,Science/Technology,https://odoocdn.com/web/image/res.partner/2076272/avatar_512/PROCESS%20CONTROL%20SCCL?unique=4cf29fe
1,Nanobytes Informática y Telecomunicaciones S.L.,Gold,Nanobytes Informática y Telecomunicaciones S.L. Calle Toledo 1 local 7 de Churriana de la Vega 18194 Granada GR Spain,Granada GR,18194,Granada,+34 958 574 702,http://www.nanobytes.es/,ventas@nanobytes.es,Science/Technology,https://odoocdn.com/web/image/res.partner/938517/avatar_512/Nanobytes%20Inform%C3%A1tica%20y%20Telecomunicaciones%20S.L.?unique=7fa056a
2,"QubiQ 2010, S.L",Gold,"C/Pamplona, 92, 3º/5ª 08018  Barcelona  Spain",Barcelona,08018,Barcelona,4920185890990,http://www.qubiq.es,info@qubiq.es,IT/Communication,https://odoocdn.com/web/image/res.partner/1394664/avatar_512/QubiQ%202010%2C%20S.L?unique=280525f
3,LANDOO Sistemas de Información S.L.,Gold,"P. Empr. Zuatzu, edif. Urumea Zubiberri  bidea 31, pl. 2, ofic. 3 20018 San Sebastian  Spain",San Sebastian,20018,Guipúzcoa,943 568 663,http://landoo.es,info@landoo.es,Science/Technology,https://odoocdn.com/web/image/res.partner/965780/avatar_512/LANDOO%20Sistemas%20de%20Informaci%C3%B3n%20S.L.?unique=b5b50a3
4,INDAWS,Gold,"Calle Sogorb, 8, 1 46004 Valéncia  Spain",Valéncia,46004,Valencia,+34 96 381 64 34,http://www.indaws.es,victor@indaws.es,IT/Communication,https://odoocdn.com/web/image/res.partner/78899/avatar_512/INDAWS?unique=7a405a4
5,Octupus Technologies SL,Gold,"Calle Albasanz, 52 - 1º A 28037 Madrid  Spain",Madrid,28037,Madrid,+34 687 54 20 55,https://www.octupus.es,jvalladolid@octupus.es,IT/Communication,https://odoocdn.com/web/image/res.partner/3917484/avatar_512/Octupus%20Technologies%20SL?unique=464bcf0
6,"Consultoría Informática Studio73, S.L.",Gold,"Carrer del Camí Vell de l'Estació, 6, bajo izq 46870 Ontinyent  Spain",Ontinyent,46870,Valencia,+34961911279,https://www.studio73.es,jordi@studio73.es,Science/Technology,https://odoocdn.com/web/image/res.partner/1506080/avatar_512/Consultor%C3%ADa%20Inform%C3%A1tica%20Studio73%2C%20S.L.?unique=3abd754
7,Rapsodoo Iberia S.L.,Gold,Paseo de la Castellana 79 7ª Planta 28046 Madrid M Spain,Madrid M,28046,Madrid,,https://www.rapsodoo.com/es,salesiberia@rapsodoo.com,,https://odoocdn.com/web/image/res.partner/4783348/avatar_512/Rapsodoo%20Iberia%20S.L.?unique=c00fd85
8,JUMO Technologies S.L.,Gold,"Calle Ciutat de Balaguer, 5, EN 1 08022 Barcelona  Spain",Barcelona,08022,Barcelona,+34 683 33 38 34,https://www.jumotech.com,jojedag@jumotech.com,IT/Communication,https://odoocdn.com/web/image/res.partner/1462158/avatar_512/JUMO%20Technologies%20S.L.?unique=6ac2d2e
9,BB HOSTMARKETING S.L,Gold,C/ Major 26 08849 Barcelona  Spain,Barcelona,08849,Barcelona, +34 936763418,http://www.dmpyme.com,info@dmpyme.com,Science/Technology,https://odoocdn.com/web/image/res.partner/594311/avatar_512/BB%20HOSTMARKETING%20S.L?unique=46c73ce
